"","ID","utm_n","place","utm_e"
"249",1142,5386908.40953932,"Wangenburg",375263.175088487
"250",1143,5388237.26030277,"Engental",374865.874003339
"251",1148,5392022.54730075,"Jettersweiler",383294.564309107
"252",1149,5390667.56806295,"Krastatt",384126.871260893
"253",1150,5391484.46879249,"Rangen",387984.943941385
"254",1151,5390995.76066032,"Hohengöft",387567.108736421
"255",1152,5389154.80176322,"Romansweiler",382753.786259492
"256",1153,5388287.60901649,"Wasselnheim (Wasselonne)",385606.333141196
"257",1154,5388287.60901649,"Wasselnheim (Wasselonne)",385606.333141196
"258",1155,5386164.94552814,"Wangen",386975.757093617
"259",1156,5386426.26797374,"Marlenheim, Kärchheim",388760.658568237
"260",1157,5385153.05679591,"Kirchheim",389155.792576301
"261",1158,5384215.01615307,"Odratzheim",388513.391446074
"262",1159,5383305.2106127,"Scharrachbergheim",389087.687054645
"263",1160,5383623.14946976,"Tränheim",386800.789882799
"264",1163,5387746.17519194,"Koßweiler (Cosswiller)",382048.497009974
"265",1164,5384631.98409521,"Westhofen",385249.524872923
"266",1174,5388001.96642514,"Nordheim",390229.710831999
"267",1211,5378767.91998372,"Oberhaslach",376791.222365197
"268",1212,5378767.91998372,"Oberhaslach",376791.222365197
"269",1213,5376204.29850815,"Urmatt",376300.163929174
"270",1214,5375119.843131,"Mühlbach (Muhlbach-Sur-Bruche)",374246.18741451
"271",1215,5382398.0406737,"Balbronn",384757.642286942
"272",1216,5381505.76217337,"Bergbieten",386313.291549195
"273",1217,5381505.76217337,"Bergbieten",386313.291549195
"274",1218,5381027.40443915,"Dangolsheim",386876.279341622
"275",1219,5378609.61286138,"Still",382276.332338076
"276",1220,5377798.25103241,"Dinsheim (Dinsheim-Sur-Bruche)",383920.763541613
"277",1221,5377399.91710213,"Mutzig",385620.543168407
"278",1222,5377463.86373529,"Molsheim",388593.15667273
"279",1223,5375729.84401449,"Dorlisheim",388168.191976328
"280",1224,5377347.34689971,"Heiligenberg",381275.227656963
"281",1225,5377032.17291363,"Gressweiler",384241.746904585
"282",1226,5373701.77808896,"Rosenweiler",384841.414700158
"283",1227,5373973.7571358,"Mollkirch",380737.270309722
"284",1228,5382807.3078314,"Irmstett",387727.90696653
"285",1229,5377921.49210989,"Niederhaslach",377565.050596971
"286",1230,5381080.44683345,"Flexburg",384318.178091874
"287",1231,5380983.85673765,"Sulzbad (soultz-Les-Bains)",388391.123383282
"288",1232,5382542.7385804,"Dahlenheim",389864.242007488
"289",1238,5380636.78978333,"Ergersheim (wohnt seit '41 in Breitenau)",391415.068189606
"290",1239,5380636.78978333,"Ergersheim",391415.068189606
"291",1240,5379807.21615364,"Avolsheim",389359.802059664
"292",1241,5379645.97710244,"Dachstein",391708.189439296
"293",1242,5380076.17607752,"Ernolsheim",394114.267217517
"294",1244,5375962.6793391,"Düppigheim und Duttlenheim (Duppigheim)",395875.98758655
"295",1245,5375596.22065375,"Duttlenheim",394117.297994971
"296",1246,5375351.69896257,"Altdorf (Altorf)",391303.682212014
"297",1251,5380619.26866301,"Wolxheim",390138.797731281
"298",1274,5372388.73519093,"Grendelbruch",376155.953875178
"299",1275,5372388.73519093,"Grendelbruch",376155.953875178
"300",1276,5366256.90191519,"Natzweiler",371226.64878013
