"","ID","place","DWA_grid","utm_e","utm_n"
"197",217,"Bernolsheim"," 13l'",403778.385664636,5401083.06603673
"198",218,"Wahlenheim"," 13l'",403378.962439054,5401922.75593594
"199",219,"Hochstett"," 13l'",402863.288831477,5403679.59352843
"200",220,"Batzendorf"," 13l'",404972.643251352,5404174.85641858
"201",221,"Wintershausen"," 13l'",404722.334360684,5405311.02488948
"202",225,"Kaltenhausen"," 13l'",414448.190712139,5404811.33443335
"203",229,"Hagenau"," 13l'",411073.047004995,5407525.77925132
"204",491,"Heimersdorf"," 10a''",367787.061549389,5270255.60502522
"205",494,"Grenzingen"," 10a''",372174.5264585,5269190.5386133
"206",495,"Largitzen"," 10a''",363641.193361797,5269171.24091442
"207",496,"Bisel"," 10a''",366056.054639596,5266105.40335473
"208",497,"Riespach"," 10a''",371033.085515006,5266745.06824112
"209",498,"Riespach"," 10a''",371033.085515006,5266745.06824112
"210",499,"Roppenzweiler (Roppenzwiller)"," 10a''",374480.880779034,5266624.3946491
"211",500,"Waldighofen"," 10a''",373299.477490766,5267728.38960931
"212",501,"Rüderbach (Ruederbach)"," 10a''",369729.197108795,5269011.09723898
"213",503,"Mooslargue"," 10a''",365842.11286446,5263311.64863769
"214",504,"Köstlach (K?stlach)"," 10a''",369788.817186092,5262867.76809819
"215",505,"Niedersept (Seppois-le-Bas)"," 10a''",362741.180204185,5266358.00913114
"216",507,"Mörnach (M?rnach)"," 10a''",368721.43336487,5262439.09096706
"217",508,"Altpfirt (Vieux-Ferrette)"," 10a''",372009.869405447,5262492.97777652
"218",509,"Altpfirt"," 10a''",372009.869405447,5262492.97777652
"219",510,"Altpfirt"," 10a''",372009.869405447,5262492.97777652
"220",524,"Dürmenach (Durmenach)"," 10a''",374849.865437537,5265081.03299925
"221",540,"Häsingen (Hésingue)"," 12a''",388781.596239689,5270272.47661592
"222",541,"Buschweiler (Buschwiller)"," 12a''",387903.588565915,5268466.00391335
"223",542,"Hegenheim (Hégenheim)"," 12a''",388925.472791475,5268582.10852707
"224",544,"Neuweiler (Neuwiller)"," 12a''",388232.020542477,5264508.57207578
"225",545,"Grenzach (Grenzach-Wyhlen)"," 12a''",399635.968045725,5267299.86088485
"226",546,"Burgfelden (Bourgfelden)"," 12a''",390737.666584984,5270480.10765234
"227",722,"Eichwald (Chalampé)"," 12x'",390682.703574785,5296929.89665734
